Gene stable ID	Gene name	Gene type	Gene description
ENSG00000276121		lncRNA	novel transcript
ENSG00000200502	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000259187		lncRNA	novel transcript
ENSG00000206784	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000252723	RNU6-677P	snRNA	RNA, U6 small nuclear 677, pseudogene [Source:HGNC Symbol;Acc:HGNC:47640]
ENSG00000238845	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000277049	RNA5SP530	rRNA	RNA, 5S ribosomal pseudogene 530 [Source:HGNC Symbol;Acc:HGNC:53799]
ENSG00000240163	RPL36AP44	processed_pseudogene	ribosomal protein L36a pseudogene 44 [Source:HGNC Symbol;Acc:HGNC:36986]
ENSG00000276094	SNORA70	snoRNA	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]
ENSG00000278028	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000276562	RN7SL565P	misc_RNA	RNA, 7SL, cytoplasmic 565, pseudogene [Source:HGNC Symbol;Acc:HGNC:46581]
ENSG00000273721		unprocessed_pseudogene	tumor protein p63 regulated 1 (TPRG1) pseudogene
ENSG00000276029	MIR4477A	miRNA	microRNA 4477a [Source:HGNC Symbol;Acc:HGNC:41859]
ENSG00000259513	CYCSP38	transcribed_processed_pseudogene	CYCS pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:24411]
ENSG00000273717	RN7SL343P	misc_RNA	RNA, 7SL, cytoplasmic 343, pseudogene [Source:HGNC Symbol;Acc:HGNC:46359]
ENSG00000206804	RNU6-1293P	snRNA	RNA, U6 small nuclear 1293, pseudogene [Source:HGNC Symbol;Acc:HGNC:48256]
ENSG00000252428	RNA5SP285	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 285 [Source:HGNC Symbol;Acc:HGNC:43185]
ENSG00000259561		lncRNA	novel transcript
ENSG00000200041	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000274852	RN7SL422P	misc_RNA	RNA, 7SL, cytoplasmic 422, pseudogene [Source:HGNC Symbol;Acc:HGNC:46438]
ENSG00000206590	RNU6-132P	snRNA	RNA, U6 small nuclear 132, pseudogene [Source:HGNC Symbol;Acc:HGNC:47095]
ENSG00000222452	RN7SKP59	misc_RNA	RN7SK pseudogene 59 [Source:HGNC Symbol;Acc:HGNC:45783]
ENSG00000274000	LILRA2	protein_coding	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]
ENSG00000259441	MRPL15P1	processed_pseudogene	mitochondrial ribosomal protein L15 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29697]
ENSG00000201711	RNU6-1303P	snRNA	RNA, U6 small nuclear 1303, pseudogene [Source:HGNC Symbol;Acc:HGNC:48266]
ENSG00000251776	RN7SKP242	misc_RNA	RN7SK pseudogene 242 [Source:HGNC Symbol;Acc:HGNC:45966]
ENSG00000212421		snoRNA	
ENSG00000222293	RNU2-36P	snRNA	RNA, U2 small nuclear 36, pseudogene [Source:HGNC Symbol;Acc:HGNC:48529]
ENSG00000188095	MESP2	protein_coding	mesoderm posterior bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29659]
ENSG00000251752	RNU4-29P	snRNA	RNA, U4 small nuclear 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:46965]
ENSG00000223012	RN7SKP264	misc_RNA	RN7SK pseudogene 264 [Source:HGNC Symbol;Acc:HGNC:45988]
ENSG00000212316	RNU6-1228P	snRNA	RNA, U6 small nuclear 1228, pseudogene [Source:HGNC Symbol;Acc:HGNC:48191]
ENSG00000263967	MIR4290	miRNA	microRNA 4290 [Source:HGNC Symbol;Acc:HGNC:38360]
ENSG00000265347	MIR4291	miRNA	microRNA 4291 [Source:HGNC Symbol;Acc:HGNC:38267]
ENSG00000265873	MIR4289	miRNA	microRNA 4289 [Source:HGNC Symbol;Acc:HGNC:38278]
ENSG00000153391	INO80C	protein_coding	INO80 complex subunit C [Source:HGNC Symbol;Acc:HGNC:26994]
ENSG00000200966	RN7SKP87	misc_RNA	RN7SK pseudogene 87 [Source:HGNC Symbol;Acc:HGNC:45811]
ENSG00000202308	RNU6-996P	snRNA	RNA, U6 small nuclear 996, pseudogene [Source:HGNC Symbol;Acc:HGNC:47959]
ENSG00000189326	SPANXN4	protein_coding	SPANX family member N4 [Source:HGNC Symbol;Acc:HGNC:33177]
ENSG00000238882	RNU6-329P	snRNA	RNA, U6 small nuclear 329, pseudogene [Source:HGNC Symbol;Acc:HGNC:47292]
ENSG00000253031	RNA5SP291	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 291 [Source:HGNC Symbol;Acc:HGNC:43191]
ENSG00000244104	RN7SL659P	misc_RNA	RNA, 7SL, cytoplasmic 659, pseudogene [Source:HGNC Symbol;Acc:HGNC:46675]
ENSG00000222558	RNU6-1064P	snRNA	RNA, U6 small nuclear 1064, pseudogene [Source:HGNC Symbol;Acc:HGNC:48027]
ENSG00000250021	ARPIN-AP3S2	protein_coding	ARPIN-AP3S2 readthrough [Source:HGNC Symbol;Acc:HGNC:38824]
ENSG00000274263	MIR7702	miRNA	microRNA 7702 [Source:HGNC Symbol;Acc:HGNC:50216]
ENSG00000224498	MAPKAPK5P1	processed_pseudogene	MAPKAPK5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45246]
ENSG00000222459	RNA5SP293	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 293 [Source:HGNC Symbol;Acc:HGNC:43193]
ENSG00000189023	MAGEB16	protein_coding	MAGE family member B16 [Source:HGNC Symbol;Acc:HGNC:21188]
ENSG00000236626	MTND5P17	processed_pseudogene	MT-ND5 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:42279]
ENSG00000263861	MIR3927	miRNA	microRNA 3927 [Source:HGNC Symbol;Acc:HGNC:38901]
ENSG00000224301		lncRNA	novel transcript
ENSG00000206923	RNU6-432P	snRNA	RNA, U6 small nuclear 432, pseudogene [Source:HGNC Symbol;Acc:HGNC:47395]
ENSG00000212409	RNY4P18	misc_RNA	RNY4 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:34068]
ENSG00000230609	COX7CP4	processed_pseudogene	COX7C pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:56512]
ENSG00000207401	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000205433	SNRPGP6	processed_pseudogene	small nuclear ribonucleoprotein polypeptide G pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39325]
ENSG00000274755	U2	snRNA	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
ENSG00000223238	RNA5SP294	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 294 [Source:HGNC Symbol;Acc:HGNC:43194]
ENSG00000236514	ZNF248-AS1	lncRNA	ZNF248 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56681]
ENSG00000280338		TEC	tec
ENSG00000207814	MIR147A	miRNA	microRNA 147a [Source:HGNC Symbol;Acc:HGNC:31534]
ENSG00000199313	RNU4-82P	snRNA	RNA, U4 small nuclear 82, pseudogene [Source:HGNC Symbol;Acc:HGNC:47018]
ENSG00000249114		lncRNA	novel transcript
ENSG00000241246	RN7SL302P	misc_RNA	RNA, 7SL, cytoplasmic 302, pseudogene [Source:HGNC Symbol;Acc:HGNC:46318]
ENSG00000230967		lncRNA	novel transcript
ENSG00000207726	MIR455	miRNA	microRNA 455 [Source:HGNC Symbol;Acc:HGNC:32344]
ENSG00000234838	PPIAP78	processed_pseudogene	peptidylprolyl isomerase A pseudogene 78 [Source:HGNC Symbol;Acc:HGNC:53702]
