Gene stable ID	Gene name	Gene type	Gene description
ENSG00000210049	MT-TF	Mt_tRNA	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]
ENSG00000211459	MT-RNR1	Mt_rRNA	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]
ENSG00000210077	MT-TV	Mt_tRNA	mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]
ENSG00000210082	MT-RNR2	Mt_rRNA	mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]
ENSG00000209082	MT-TL1	Mt_tRNA	mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]
ENSG00000198888	MT-ND1	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
ENSG00000210100	MT-TI	Mt_tRNA	mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]
ENSG00000210107	MT-TQ	Mt_tRNA	mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]
ENSG00000210112	MT-TM	Mt_tRNA	mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]
ENSG00000198763	MT-ND2	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
ENSG00000210117	MT-TW	Mt_tRNA	mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]
ENSG00000210127	MT-TA	Mt_tRNA	mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]
ENSG00000210135	MT-TN	Mt_tRNA	mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]
ENSG00000210140	MT-TC	Mt_tRNA	mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]
ENSG00000210144	MT-TY	Mt_tRNA	mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]
ENSG00000198804	MT-CO1	protein_coding	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
ENSG00000210151	MT-TS1	Mt_tRNA	mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]
ENSG00000210154	MT-TD	Mt_tRNA	mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]
ENSG00000198712	MT-CO2	protein_coding	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
ENSG00000210156	MT-TK	Mt_tRNA	mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]
ENSG00000228253	MT-ATP8	protein_coding	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]
ENSG00000198899	MT-ATP6	protein_coding	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
ENSG00000198938	MT-CO3	protein_coding	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
ENSG00000210164	MT-TG	Mt_tRNA	mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]
ENSG00000198840	MT-ND3	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
ENSG00000210174	MT-TR	Mt_tRNA	mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]
ENSG00000212907	MT-ND4L	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]
ENSG00000198886	MT-ND4	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
ENSG00000210176	MT-TH	Mt_tRNA	mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]
ENSG00000210184	MT-TS2	Mt_tRNA	mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]
ENSG00000210191	MT-TL2	Mt_tRNA	mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]
ENSG00000198786	MT-ND5	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]
ENSG00000198695	MT-ND6	protein_coding	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
ENSG00000210194	MT-TE	Mt_tRNA	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]
ENSG00000198727	MT-CYB	protein_coding	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
ENSG00000210195	MT-TT	Mt_tRNA	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]
ENSG00000210196	MT-TP	Mt_tRNA	mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]
ENSG00000299200		lncRNA	novel transcript
ENSG00000308964		lncRNA	novel transcript
ENSG00000278457	5S_rRNA	rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSG00000271254		protein_coding	
ENSG00000278704		protein_coding	
ENSG00000278625	U6	snRNA	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSG00000309338		lncRNA	novel transcript
ENSG00000295063		lncRNA	novel transcript
ENSG00000309357		lncRNA	novel transcript
ENSG00000309229		lncRNA	novel transcript
ENSG00000310277		lncRNA	novel transcript
ENSG00000304745		lncRNA	novel transcript
ENSG00000276197		misc_RNA	
ENSG00000297844		lncRNA	novel transcript
ENSG00000309258		lncRNA	novel transcript
ENSG00000278573		pseudogene	
ENSG00000303173		lncRNA	novel transcript
ENSG00000278294	5_8S_rRNA	rRNA	5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]
ENSG00000274917	RNA5-8SN5	rRNA	RNA, 5.8S ribosomal N5 [Source:HGNC Symbol;Acc:HGNC:53533]
ENSG00000294644		lncRNA	novel transcript
ENSG00000296902		lncRNA	novel transcript
ENSG00000307034		lncRNA	novel transcript
ENSG00000273730	5_8S_rRNA	rRNA	5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]
ENSG00000273937		misc_RNA	
ENSG00000297619		lncRNA	novel transcript
ENSG00000277196		protein_coding	proline dehydrogenase 1
ENSG00000308580		lncRNA	novel transcript
ENSG00000296546		lncRNA	novel transcript
ENSG00000300051		lncRNA	novel transcript
ENSG00000296713		lncRNA	novel transcript
ENSG00000305511		lncRNA	novel transcript
ENSG00000305525		lncRNA	novel transcript
ENSG00000306721		lncRNA	novel transcript
ENSG00000277630		protein_coding	
ENSG00000300074		lncRNA	novel transcript
ENSG00000303867		lncRNA	novel transcript
ENSG00000300093		lncRNA	novel transcript
ENSG00000300846		lncRNA	novel transcript
ENSG00000307470		lncRNA	novel transcript
ENSG00000303750		lncRNA	novel transcript
ENSG00000301573		lncRNA	novel transcript
ENSG00000278817		protein_coding	DiGeorge syndrome critical region 6 [Source:UniProtKB Gene Name;Acc:X5D7D2]
ENSG00000276017		protein_coding	
ENSG00000302039		lncRNA	novel transcript
ENSG00000301587		lncRNA	novel transcript
ENSG00000297072		lncRNA	novel transcript
ENSG00000278793	U6	snRNA	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSG00000298861		lncRNA	novel transcript
ENSG00000301131		lncRNA	novel transcript
ENSG00000303733		lncRNA	novel transcript
ENSG00000305236		lncRNA	novel transcript
ENSG00000308643		lncRNA	novel transcript
ENSG00000309233		lncRNA	novel transcript
ENSG00000277428	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000276256		protein_coding	
ENSG00000295668		lncRNA	novel transcript
ENSG00000303853		lncRNA	novel transcript
ENSG00000303221		lncRNA	novel transcript
ENSG00000307061		lncRNA	novel transcript
ENSG00000278384		protein_coding	
ENSG00000307722		lncRNA	novel transcript
ENSG00000310401		lncRNA	novel transcript
ENSG00000309831		lncRNA	novel transcript
ENSG00000301761		lncRNA	novel transcript
ENSG00000306744		lncRNA	novel transcript
ENSG00000306767		lncRNA	novel transcript
ENSG00000275987	U1	snRNA	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSG00000308844		lncRNA	novel transcript
ENSG00000268674		protein_coding	
ENSG00000277475		protein_coding	
ENSG00000275405	U1	snRNA	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSG00000275063		protein_coding	immunoglobulin heavy variable 4-38-2 [Source:UniProtKB Gene Name;Acc:P0DP08]
ENSG00000298139		lncRNA	novel transcript
ENSG00000277856		protein_coding	
ENSG00000277400		protein_coding	MAFF interacting protein [Source:UniProtKB Gene Name;Acc:Q8WZ33]
ENSG00000295160		lncRNA	novel transcript
ENSG00000298751		lncRNA	novel transcript
ENSG00000274847	MAFIP	protein_coding	MAFF interacting protein [Source:HGNC Symbol;Acc:HGNC:31102]
ENSG00000276711	U2	snRNA	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
ENSG00000298769		lncRNA	novel transcript
ENSG00000302961		lncRNA	novel transcript
ENSG00000296348		lncRNA	novel transcript
ENSG00000296732		lncRNA	novel transcript
ENSG00000301091		lncRNA	novel transcript
ENSG00000298772		lncRNA	novel transcript, antisense to MAFIP
ENSG00000307824		lncRNA	novel transcript
ENSG00000303154		lncRNA	novel transcript
ENSG00000303902		lncRNA	novel transcript
ENSG00000307077		lncRNA	novel transcript
ENSG00000304792		lncRNA	novel transcript
ENSG00000304816		lncRNA	novel transcript
ENSG00000298153		lncRNA	novel transcript
ENSG00000303875		lncRNA	novel transcript
ENSG00000275661		misc_RNA	
ENSG00000303892		lncRNA	novel transcript
ENSG00000276351		misc_RNA	
ENSG00000276345		protein_coding	
ENSG00000310347		lncRNA	novel transcript
ENSG00000303912		lncRNA	novel transcript
ENSG00000273532		misc_RNA	
ENSG00000293919		lncRNA	novel transcript
ENSG00000294171		lncRNA	novel transcript
ENSG00000298169		lncRNA	novel transcript
ENSG00000306528		lncRNA	novel transcript
ENSG00000308185		lncRNA	novel transcript
ENSG00000298181		lncRNA	novel transcript
ENSG00000304845		lncRNA	novel transcript
ENSG00000276312		misc_RNA	
ENSG00000276700	RNA5-8SN4	rRNA	RNA, 5.8S ribosomal N4 [Source:HGNC Symbol;Acc:HGNC:53529]
ENSG00000275757	5_8S_rRNA	rRNA	5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]
ENSG00000298793		lncRNA	novel transcript
ENSG00000273739		misc_RNA	
ENSG00000298142		lncRNA	novel transcript
ENSG00000301406		lncRNA	novel transcript
ENSG00000307206		lncRNA	novel transcript
ENSG00000306938		lncRNA	novel transcript
ENSG00000274175		protein_coding	
ENSG00000310376		lncRNA	novel transcript
ENSG00000297972		lncRNA	novel transcript
ENSG00000273554		protein_coding	
ENSG00000310392		lncRNA	novel transcript
ENSG00000277374	U1	snRNA	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSG00000300519		lncRNA	novel transcript
ENSG00000303573		lncRNA	novel transcript
ENSG00000297432		lncRNA	novel transcript
ENSG00000306402		lncRNA	novel transcript
ENSG00000273748		protein_coding	
ENSG00000296581		lncRNA	novel transcript
ENSG00000297449		lncRNA	novel transcript
ENSG00000304422		lncRNA	novel transcript
ENSG00000299314		lncRNA	novel transcript
ENSG00000275869		protein_coding	
ENSG00000294191		lncRNA	novel transcript
ENSG00000278510		processed_pseudogene	
ENSG00000273843		processed_pseudogene	
ENSG00000277836		protein_coding	
ENSG00000294926		lncRNA	novel transcript
ENSG00000296598		lncRNA	novel transcript
ENSG00000295260		lncRNA	novel transcript
ENSG00000296618		lncRNA	novel transcript
ENSG00000309296		lncRNA	novel transcript
ENSG00000295285		lncRNA	novel transcript
ENSG00000299852		lncRNA	novel transcript
ENSG00000295455		lncRNA	novel transcript
ENSG00000293939		lncRNA	novel transcript
ENSG00000295648		lncRNA	novel transcript
ENSG00000296644		lncRNA	novel transcript
ENSG00000293969		lncRNA	novel transcript
ENSG00000299870		lncRNA	novel transcript
ENSG00000296756		lncRNA	novel transcript
ENSG00000276932	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000302801		lncRNA	novel transcript
ENSG00000307088		lncRNA	novel transcript
ENSG00000296798		lncRNA	novel transcript
ENSG00000296634		lncRNA	novel transcript
ENSG00000299885		lncRNA	novel transcript
ENSG00000297394		lncRNA	novel transcript
ENSG00000297936		lncRNA	novel transcript
ENSG00000298469		lncRNA	novel transcript
ENSG00000278633		protein_coding	
ENSG00000278066		pseudogene	
ENSG00000295378		lncRNA	novel transcript
ENSG00000306901		lncRNA	novel transcript
ENSG00000309793		lncRNA	novel transcript
ENSG00000300662		lncRNA	novel transcript
ENSG00000301410		lncRNA	novel transcript
ENSG00000303548		lncRNA	novel transcript
ENSG00000296775		lncRNA	novel transcript
ENSG00000303746		lncRNA	novel transcript
ENSG00000297558		lncRNA	novel transcript
ENSG00000298095		lncRNA	novel transcript
ENSG00000274202	U2	snRNA	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
ENSG00000303588		lncRNA	novel transcript
ENSG00000304032		lncRNA	novel transcript
ENSG00000308966		lncRNA	novel transcript
ENSG00000304964		lncRNA	novel transcript
ENSG00000309079		lncRNA	novel transcript
ENSG00000305027		lncRNA	novel transcript
ENSG00000305713		lncRNA	novel transcript
ENSG00000306124		lncRNA	novel transcript
ENSG00000307249		lncRNA	novel transcript
ENSG00000308567		lncRNA	novel transcript
ENSG00000309335		lncRNA	novel transcript
ENSG00000301787		lncRNA	novel transcript
ENSG00000310156		lncRNA	novel transcript
ENSG00000300815		lncRNA	novel transcript
ENSG00000304057		lncRNA	novel transcript
ENSG00000293753		lncRNA	novel transcript
ENSG00000299010		lncRNA	novel transcript
ENSG00000307122		lncRNA	novel transcript
ENSG00000307143		lncRNA	novel transcript
ENSG00000307166		lncRNA	novel transcript
ENSG00000280864		lncRNA	novel transcript
ENSG00000281822	RNU1-62P	snRNA	RNA, U1 small nuclear 62, pseudogene [Source:HGNC Symbol;Acc:HGNC:48404]
ENSG00000280505	MTCO3P47	processed_pseudogene	MT-CO3 pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:56430]
ENSG00000280775	RNA5SP136	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 136 [Source:HGNC Symbol;Acc:HGNC:43036]
ENSG00000281766	RYBP	protein_coding	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480]
ENSG00000288269	GCGR	protein_coding	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]
ENSG00000291360	RPL23AP45	processed_pseudogene	ribosomal protein L23a pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:36896]
ENSG00000288213	MCRIP1	protein_coding	MAPK regulated corepressor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28007]
ENSG00000291371	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000291372	RNU6-409P	snRNA	RNA, U6 small nuclear 409, pseudogene [Source:HGNC Symbol;Acc:HGNC:47372]
ENSG00000291368	ACR	protein_coding	acrosin [Source:HGNC Symbol;Acc:HGNC:126]
ENSG00000306474		lncRNA	novel transcript
ENSG00000291361		processed_pseudogene	zinc finger protein pseudogene
ENSG00000291369		lncRNA	novel transcript
ENSG00000291362	C8orf33	protein_coding	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]
ENSG00000291370	SNRPA1P2	processed_pseudogene	SNRPA1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:56983]
ENSG00000282162	LINC01784	lncRNA	long intergenic non-protein coding RNA 1784 [Source:HGNC Symbol;Acc:HGNC:52574]
ENSG00000292254	SHANK3	protein_coding	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]
ENSG00000281934	PRAMEF11	protein_coding	PRAME family member 11 [Source:HGNC Symbol;Acc:HGNC:14086]
ENSG00000282116	PRAMEF30P	unprocessed_pseudogene	PRAME family member 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:51892]
ENSG00000282175	HNRNPCL1	protein_coding	heterogeneous nuclear ribonucleoprotein C like 1 [Source:HGNC Symbol;Acc:HGNC:29295]
ENSG00000282817	PRAMEF2	protein_coding	PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]
ENSG00000282584	PRAMEF4	protein_coding	PRAME family member 4 [Source:HGNC Symbol;Acc:HGNC:31971]
ENSG00000282663	PRAMEF10	protein_coding	PRAME family member 10 [Source:HGNC Symbol;Acc:HGNC:27997]
ENSG00000279195	PRAMEF7	protein_coding	PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]
ENSG00000306526		lncRNA	novel transcript
ENSG00000282338	RNU6-1072P	snRNA	RNA, U6 small nuclear 1072, pseudogene [Source:HGNC Symbol;Acc:HGNC:48035]
ENSG00000282549	PRAMEF29P	unprocessed_pseudogene	PRAME family member 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:51891]
ENSG00000282119	PRAMEF6	protein_coding	PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]
ENSG00000288186	PPP1R27	protein_coding	protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]
ENSG00000282791	PRAMEF28P	unprocessed_pseudogene	PRAME family member 28, pseudogene [Source:HGNC Symbol;Acc:HGNC:51890]
ENSG00000282437	PRAMEF27	protein_coding	PRAME family member 27 [Source:HGNC Symbol;Acc:HGNC:51234]
ENSG00000282559	HNRNPCL3	protein_coding	heterogeneous nuclear ribonucleoprotein C like 3 [Source:HGNC Symbol;Acc:HGNC:51235]
ENSG00000282566	PRAMEF25	protein_coding	PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]
ENSG00000282258	PRAMEF34P	unprocessed_pseudogene	PRAME family member 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:51895]
ENSG00000282562	PRAMEF35P	unprocessed_pseudogene	PRAME family member 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:51896]
ENSG00000291364	LINC02688	lncRNA	long intergenic non-protein coding RNA 2688 [Source:HGNC Symbol;Acc:HGNC:54184]
ENSG00000282530	HNRNPCL2	protein_coding	heterogeneous nuclear ribonucleoprotein C like 2 [Source:HGNC Symbol;Acc:HGNC:48813]
ENSG00000291363	MUC5AC	protein_coding	mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]
ENSG00000282468	PRAMEF36P	transcribed_unprocessed_pseudogene	PRAME family member 36, pseudogene [Source:HGNC Symbol;Acc:HGNC:51897]
ENSG00000290624		lncRNA	novel transcript
ENSG00000293532	MUC2	protein_coding	mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]
ENSG00000282341		lncRNA	novel transcript
ENSG00000281987	PRAMEF26	protein_coding	PRAME family member 26 [Source:HGNC Symbol;Acc:HGNC:49178]
ENSG00000282095	HNRNPCL4	protein_coding	heterogeneous nuclear ribonucleoprotein C like 4 [Source:HGNC Symbol;Acc:HGNC:51333]
ENSG00000282298	PRAMEF9	protein_coding	PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]
ENSG00000282741	PRAMEF13	protein_coding	PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262]
ENSG00000282212	PRAMEF18	protein_coding	PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]
ENSG00000282289	PRAMEF31P	unprocessed_pseudogene	PRAME family member 31, pseudogene [Source:HGNC Symbol;Acc:HGNC:51893]
ENSG00000282424	PRAMEF5	protein_coding	PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995]
ENSG00000282216	PRAMEF32P	unprocessed_pseudogene	PRAME family member 32, pseudogene [Source:HGNC Symbol;Acc:HGNC:51894]
ENSG00000282288	RNU6-771P	snRNA	RNA, U6 small nuclear 771, pseudogene [Source:HGNC Symbol;Acc:HGNC:47734]
ENSG00000282583	PRAMEF8	protein_coding	PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]
ENSG00000282125	PRAMEF33	protein_coding	PRAME family member 33 [Source:HGNC Symbol;Acc:HGNC:49193]
ENSG00000293551	PRAMEF22	protein_coding	PRAME family member 22 [Source:HGNC Symbol;Acc:HGNC:34393]
ENSG00000291365	CNTNAP3C	protein_coding	contactin associated protein family member 3C [Source:HGNC Symbol;Acc:HGNC:53878]
ENSG00000291366	RN7SL462P	misc_RNA	RNA, 7SL, cytoplasmic 462, pseudogene [Source:HGNC Symbol;Acc:HGNC:46478]
ENSG00000290500		lncRNA	novel transcript
ENSG00000261958	OR9G1	protein_coding	olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]
ENSG00000262191	OR9G9	protein_coding	olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]
ENSG00000281683		processed_pseudogene	GNAS complex locus (GNAS) pseudogene
ENSG00000262268	OR9G3P	unprocessed_pseudogene	olfactory receptor family 9 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15321]
ENSG00000262647	OR9G4	protein_coding	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]
ENSG00000281777	OR9G2P	unprocessed_pseudogene	olfactory receptor family 9 subfamily G member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15320]
ENSG00000281313	OR5G1P	unprocessed_pseudogene	olfactory receptor family 5 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8344]
ENSG00000281449	BCL2L14	protein_coding	BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]
ENSG00000281279	OR5G4P	unprocessed_pseudogene	olfactory receptor family 5 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:15288]
ENSG00000262535	OR5G5P	transcribed_unprocessed_pseudogene	olfactory receptor family 5 subfamily G member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15289]
ENSG00000281107	OR5G3	protein_coding	olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]
ENSG00000281839	LINC02735	lncRNA	long intergenic non-protein coding RNA 2735 [Source:HGNC Symbol;Acc:HGNC:54252]
ENSG00000281442	PTMAP9	processed_pseudogene	prothymosin alpha pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:34054]
ENSG00000283344	MIR1244-4	miRNA	microRNA 1244-4 [Source:HGNC Symbol;Acc:HGNC:50831]
ENSG00000281324	LRP6	protein_coding	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]
ENSG00000288175	SYT15B	protein_coding	synaptotagmin 15B [Source:HGNC Symbol;Acc:HGNC:51487]
ENSG00000288244		lncRNA	novel transcript
ENSG00000288157	NPY4R2	protein_coding	neuropeptide Y receptor Y4-2 [Source:HGNC Symbol;Acc:HGNC:52383]
ENSG00000288304		lncRNA	novel transcript
ENSG00000288481	FAM25C	protein_coding	family with sequence similarity 25 member C [Source:HGNC Symbol;Acc:HGNC:23586]
ENSG00000288424	AGAP12P	transcribed_unprocessed_pseudogene	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23661]
ENSG00000290627	AGAP12P	lncRNA	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:414224]
ENSG00000288201	RNA5SP315	rRNA_pseudogene	RNA, 5S ribosomal pseudogene 315 [Source:HGNC Symbol;Acc:HGNC:43215]
ENSG00000288196	BMS1P7	transcribed_unprocessed_pseudogene	BMS1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]
ENSG00000288457		unprocessed_pseudogene	G protein regulated inducer of neurite outgrowth 2 (GPRIN2) pseudogene
ENSG00000291426	TOLLIP	protein_coding	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]
ENSG00000291427	TOLLIP-DT	lncRNA	TOLLIP divergent transcript [Source:HGNC Symbol;Acc:HGNC:27403]
ENSG00000291429		lncRNA	novel transcript
ENSG00000291430	LINC02689	lncRNA	long intergenic non-protein coding RNA 2689 [Source:HGNC Symbol;Acc:HGNC:54192]
ENSG00000291428	BRSK2	protein_coding	BR serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11405]
ENSG00000280475	RPL21P100	processed_pseudogene	ribosomal protein L21 pseudogene 100 [Source:HGNC Symbol;Acc:HGNC:36048]
ENSG00000206783	RNU6-545P	snRNA	RNA, U6 small nuclear 545, pseudogene [Source:HGNC Symbol;Acc:HGNC:47508]
ENSG00000281874		processed_pseudogene	ubiquitin-conjugating enzyme E2 variant 2 (UBE2V2) pseudogene
ENSG00000207477	RNU6-318P	snRNA	RNA, U6 small nuclear 318, pseudogene [Source:HGNC Symbol;Acc:HGNC:47281]
ENSG00000281818	MANSC1	protein_coding	MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]
ENSG00000291441		lncRNA	novel transcript
ENSG00000291431	DUSP8	protein_coding	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]
ENSG00000291432	KRTAP5-AS1	lncRNA	KRTAP5-1/KRTAP5-2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27877]
ENSG00000281051	RPL23AP66	processed_pseudogene	ribosomal protein L23a pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:35940]
ENSG00000291433	KRTAP5-1	protein_coding	keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]
ENSG00000281234	LOH12CR2	lncRNA	loss of heterozygosity on chromosome 12, region 2 [Source:HGNC Symbol;Acc:HGNC:26524]
ENSG00000291434	KRTAP5-2	protein_coding	keratin associated protein 5-2 [Source:HGNC Symbol;Acc:HGNC:23597]
ENSG00000291435	KRTAP5-3	protein_coding	keratin associated protein 5-3 [Source:HGNC Symbol;Acc:HGNC:23598]
ENSG00000291440	KRTAP5-4	protein_coding	keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]
ENSG00000291443	KRTAP5-5	protein_coding	keratin associated protein 5-5 [Source:HGNC Symbol;Acc:HGNC:23601]
ENSG00000280689	BORCS5	protein_coding	BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]
ENSG00000291436		lncRNA	novel transcript
ENSG00000291437	FAM99A	lncRNA	family with sequence similarity 99 member A [Source:HGNC Symbol;Acc:HGNC:32368]
ENSG00000291438	FAM99B	lncRNA	family with sequence similarity 99 member B [Source:HGNC Symbol;Acc:HGNC:32369]
ENSG00000291439	LINC02708	lncRNA	long intergenic non-protein coding RNA 2708 [Source:HGNC Symbol;Acc:HGNC:54225]
ENSG00000291442	MOB2	protein_coding	MOB kinase activator 2 [Source:HGNC Symbol;Acc:HGNC:24904]
ENSG00000281168		processed_pseudogene	adaptor-related protein complex 3, sigma 1 subunit (AP3S1) pseudogene
ENSG00000280962	DUSP16	protein_coding	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]
ENSG00000288522		lncRNA	novel transcript
