gene,gene_symbol,gene_biotype,gene_description,log2FoldChange,pvalue,padj
ENSG00000282879.1,ENSG00000282879,processed_pseudogene,translation machinery associated 7 homolog (S. cerevisiae) (TMA7) pseudogene,0.2690338188752912,0.5987982479199354,0.6438072330458218
ENSG00000282881.2,TMEM275,protein_coding,transmembrane protein 275 [Source:HGNC Symbol;Acc:HGNC:53938],-0.1832632822574589,0.7576371912001065,
ENSG00000282882.2,ENSG00000282882,lncRNA,novel transcript,3.9060322747494594,1.9526875231581535e-11,6.846841100085508e-11
ENSG00000282885.2,ENSG00000282885,lncRNA,novel transcript,-0.8968682835831056,1.7453687835603292e-33,2.1145712242709663e-32
ENSG00000282886.1,PTMAP12,processed_pseudogene,prothymosin alpha pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:53982],0.4718537988618719,0.0069443607410962,0.0110240806250489
ENSG00000282887.2,ENSG00000282887,,,0.2486807344775242,0.8926559063606234,
ENSG00000282890.1,MIR548BAHG,lncRNA,MIR548BA host gene [Source:HGNC Symbol;Acc:HGNC:58158],0.9045031643891056,0.001999130732595,0.0033932026579113
ENSG00000282894.1,DUX4L33,unprocessed_pseudogene,double homeobox 4 like 33 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51789],0.384592304367967,0.7233889011033572,
ENSG00000282897.1,ENSG00000282897,TEC,TEC,-1.571109020760152,2.5128840576002218e-11,8.74516512134261e-11
ENSG00000282898.1,ENSG00000282898,lncRNA,novel transcript,0.1556208417631715,0.972441010387773,
ENSG00000282904.2,ENSG00000282904,lncRNA,novel transcript,-1.307568564137493,1.6281483701401848e-06,3.83757230482166e-06
ENSG00000282906.1,ENSG00000282906,lncRNA,novel transcript,0.3952563399521703,0.7054598058223962,
ENSG00000282907.1,ENSG00000282907,lncRNA,novel transcript,-0.7806167698976487,0.2671122560176471,0.3217658585227285
ENSG00000282909.2,ENSG00000282909,transcribed_unprocessed_pseudogene,"family with sequence similarity 166, member A (FAM166A) pseudogene",0.1449737490812267,0.9743259387864588,
ENSG00000282911.1,DUX4L35,unprocessed_pseudogene,double homeobox 4 like 35 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:51773],2.465161547629078,3.8777370314696205e-09,1.1415173278161412e-08
ENSG00000282912.1,ENSG00000282912,processed_pseudogene,"major histocompatibility complex, class I, F (HLA-F) pseudogene",0.2007412922808231,0.9287715219281754,
